Incident Name,Start Date,Incident Time,Evacuation Order Zones,Evacuation Warning Zones
Rabbit Fire,"July 14, 2023 at 5:53 PM","July 22, 2023 at 6:29 PM",,
Franklin Fire,"December 10, 2024 at 5:52 AM","December 18, 2024 at 8:42 AM","KAN-U017, MAL-C111, MAL-C112, MAL-C113, MCR-U021, MCR-U021A, MTN-U028, RMB-U030, SDP-U029, SSM-U010, TOP-U008, VST-U022","KAN-U017, MAL-C111, MAL-C112, MAL-C113, MCR-U021, MCR-U021A, MTN-U028, RMB-U030, SDP-U029, SSM-U010, TOP-U008, VST-U022"
Oak Fire,"December 31, 2024 at 9:50 PM","January 1, 2025 at 9:40 AM",,
Border Fire,"January 1, 2025 at 9:53 PM","January 2, 2025 at 10:03 PM",,
Palisades Fire,"January 7, 2025 at 11:06 AM","February 10, 2025 at 3:46 PM","ALOS-0767, BLOS-Q0778, CAL-C405, CAL-C406, CAL-C407, CAL-C408, CAL-C409, CAL-C410, CAL-C411, CAL-C412, CAL-C413, CAL-C414, CAL-C415, DRY-U026, LOS-0764, LOS-0767, LOS-0772, LOS-0778, LOS-0779, LOS-0780, LOS-0781, LOS-0782, LOS-0783, LOS-0798, LOS-0800, LOS-1089, LOS-1163, LOS-Q0406, LOS-Q0407, LOS-Q0751, LOS-Q0762, LOS-Q0764, LOS-Q0765, LOS-Q0767, LOS-Q0772, LOS-Q0778, LOS-Q0779, LOS-Q0780, LOS-Q0781, LOS-Q0782, LOS-Q0783, LOS-Q0798, LOS-Q0800, LOS-Q1089, LOS-Q1115, LOS-Q1118, LOS-Q1119, LOS-Q1163, LOS-Q778, MAL-C111, MAL-C111A, MAL-C112, MCR-U021, MTN-U028, RMB-U030, RRC-U027, RRC-U027A, SAN-Q1388, SAN-Q1389, SAN-Q1395, SAN-Q1396, SDP-U029, SSM-U010, TOP-U001, TOP-U002, TOP-U002OPEN, TOP-U003, TOP-U004, TOP-U005, TOP-U006, TOP-U007, TOP-U008, TOP-U009, TOP-U009OPEN","CAL-C405, CAL-C406, CAL-C407, CAL-C408, CAL-C409, CAL-C410, CAL-C411, CAL-C412, CAL-C413, CAL-C414, CAL-C415, DRY-U026, LOS-0764, LOS-0772, LOS-0779, LOS-0783, LOS-0800, LOS-1089, LOS-1163, LOS-Q0406, LOS-Q0407, LOS-Q0751, LOS-Q0762, LOS-Q0764, LOS-Q0765, LOS-Q0767, LOS-Q0772, LOS-Q0779, LOS-Q0781, LOS-Q0782, LOS-Q0783, LOS-Q0798, LOS-Q0800, LOS-Q1089, LOS-Q1115, LOS-Q1118, LOS-Q1119, LOS-Q1163, LOS-Q778, MAL-C111, MAL-C112, MCR-U021, MTN-U028, RMB-U030, RRC-U027, RRC-U027A, SAN-Q1388, SAN-Q1389, SAN-Q1395, SAN-Q1396, SDP-U029, SSM-U010, TOP-U001, TOP-U002, TOP-U002OPEN, TOP-U004, TOP-U005, TOP-U006, TOP-U007, TOP-U008, TOP-U009"
Eaton Fire,"January 7, 2025 at 6:49 PM","January 27, 2025 at 10:04 AM","ALD-ARROYOSECO, ALD-CALAVERAS, ALD-CANON, ALD-CASITAS, ALD-CHANEY, ALD-EASTLOMA, ALD-EATONCANYON, ALD-FARNSWORTH, ALD-GARDEN, ALD-GARFIAS, ALD-LAUREL, ALD-MEADOWS, ALD-MENDOCINO, ALD-MIDLOTHIAN, ALD-MILLARD, ALD-MOUNTLOWE, ALD-PALM, ALD-RUBIO, ALD-WAPELLO, ALD-WHITEPARK, ARC-001, ARC-002, ARC-003, ARC-004, ARC-005, BPAS-E010, BRA-001, BRA-002, BRA-003, BRA-004, CRV-ALABAMA, CRV-BRIGGSTERRACE, CRV-COMMUNITY, CRV-HENRIETTA, CRV-MONTROSE, CRV-MOUNTAIN, CRV-PINECONE, CRV-TEASLEY, DUA-001, DUA-002, DUA-005, DUA-008, GLN-E001, GLN-E002, GLN-E003, GLN-E004, GLN-E006, GLN-E013, GLN-E017, GLN-E018, GLN-E026, GLN-E027, GLN-E028, GLN-E029, GLN-E030, GLN-E038, GLN-E039, GLN-E040, GLN-E041, GLN-E043, GLN-E044, KIN-KINNELOA, LAC-E165, LAC-E167, LAC-E168, LAC-E183, LCF-ALTACANYADA, LCF-BERKSHIRE, LCF-CASTLE, LCF-CIVICCENTER, LCF-COMMONWEALTH, LCF-CREST, LCF-CROWN, LCF-DESCANSO, LCF-FOOTHILLEAST, LCF-FOOTHILLWEST, LCF-HAMPSTEAD, LCF-HILLARD, LCF-INVERNESS, LCF-JPL, LCF-MEMORIAL, LCF-PARADISE, LCF-STARLIGHT, MRV-101, MRV-102, MRV-201, MRV-202, MRV-203, MRV-204, MRV-301, MRV-302, MRV-303, MRV-304, MRV-305, MRV-307, MRV-401, MRV-402, MRV-403, MRV-404, MRV-405, PAS-E001, PAS-E002, PAS-E003, PAS-E004, PAS-E005, PAS-E006, PAS-E007, PAS-E008, PAS-E009, PAS-E010, PAS-E011, PAS-E012, PAS-E013, PAS-E014, PAS-E015, PAS-E016, PAS-E017, PAS-E018, PAS-E019, PAS-E020, PAS-E022, PAS-EO19, SMD-E001, SMD-E002, SMD-E003, SMD-E004, SMD-E005, SMD-E006, SMD-E007, SMD-E008, SMD-E009, SMD-E010, SMD-E011, SMD-E012, SMD-E013, SMD-E014, SMD-E015, SMD-E016, SMD-E017, SMD-E018, SMD-E019","ALD-ARROYOSECO, ALD-CALAVERAS, ALD-CASITAS, ALD-EASTLOMA, ALD-EATONCANYON, ALD-GARFIAS, ALD-MEADOWS, ALD-MENDOCINO, ALD-MIDLOTHIAN, ALD-MILLARD, ALD-MOUNTLOWE, ALD-WHITEPARK, ARC-001, ARC-002, ARC-003, ARC-004, ARC-005, BPAS-E010, BRA-001, BRA-002, BRA-003, BRA-004, CRV-ALABAMA, CRV-BRIGGSTERRACE, CRV-COMMUNITY, CRV-HENRIETTA, CRV-MONTROSE, CRV-MOUNTAIN, CRV-PINECONE, CRV-TEASLEY, DUA-001, DUA-002, DUA-005, DUA-008, GLN-E001, GLN-E002, GLN-E003, GLN-E004, GLN-E006, GLN-E013, GLN-E017, GLN-E026, GLN-E038, GLN-E043, GLN-E044, KIN-KINNELOA, LAC-E183, LCF-ALTACANYADA, LCF-CASTLE, LCF-CIVICCENTER, LCF-COMMONWEALTH, LCF-CREST, LCF-CROWN, LCF-DESCANSO, LCF-FOOTHILLEAST, LCF-FOOTHILLWEST, LCF-HAMPSTEAD, LCF-HILLARD, LCF-JPL, LCF-MEMORIAL, LCF-PARADISE, LCF-STARLIGHT, MRV-101, MRV-102, MRV-201, MRV-202, MRV-203, MRV-204, MRV-301, MRV-302, MRV-303, MRV-304, MRV-305, MRV-401, MRV-402, MRV-403, MRV-404, PAS-E004, PAS-E005, PAS-E006, PAS-E007, PAS-E008, PAS-E009, PAS-E010, PAS-E011, PAS-E012, PAS-E013, PAS-E014, PAS-E015, PAS-E016, PAS-E017, PAS-E018, PAS-E019, PAS-E020, PAS-E022, SMD-E001, SMD-E002, SMD-E003, SMD-E004, SMD-E005, SMD-E006, SMD-E007, SMD-E008, SMD-E009, SMD-E010, SMD-E011, SMD-E012, SMD-E013, SMD-E014, SMD-E015, SMD-E016, SMD-E017, SMD-E018, SMD-E019"
Hurst Fire,"January 7, 2025 at 10:37 PM","January 15, 2025 at 6:30 PM","LAC-E119, LAC-E131, LAC-E132, LOS-E001, LOS-E003, LOS-Q0412, LOS-Q0449, SCL-CALGROVE, SCL-ETERNAL, SCL-NEWHALLPASS, SCL-WILDWOOD","LAC-E119, LAC-E131, LAC-E132, LOS-E001, LOS-E003, LOS-Q0412, LOS-Q0449, SCL-CALGROVE, SCL-ETERNAL, SCL-NEWHALLPASS, SCL-WILDWOOD"
Tyler Fire,"January 8, 2025 at 4:47 AM","January 8, 2025 at 11:14 AM",,
Woodley Fire,"January 8, 2025 at 6:18 AM","January 8, 2025 at 8:07 PM",,
Olivas Fire,"January 8, 2025 at 10:46 AM","January 8, 2025 at 8:08 PM",,
